name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
malaysia,1/1/2000,88.4,75.3,81.9,97.8,75.3,85.9,74.2,79,0.547,100,8.33,rain,,,,8.1,300.5,,90,9.1,,,,,2000-01-01T07:18:07,2000-01-01T19:14:39,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,48647099999
malaysia,2/1/2000,84.5,75.3,78.6,93,75.3,81.1,74.9,88.8,1.288,100,12.5,rain,,,,15,296.8,,90,6.1,,,,,2000-01-02T07:18:34,2000-01-02T19:15:08,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,48647099999
malaysia,3/1/2000,87.9,74.9,80.4,96.1,74.9,83.6,73.9,82.1,0.039,100,4.17,rain,,,,5.1,351.6,1008.9,88.6,6.2,,,,,2000-01-03T07:19:01,2000-01-03T19:15:38,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"4,864,709,999,948,640,000,000"
malaysia,4/1/2000,86.6,74.4,79.3,94.6,74.4,82,74.3,85.9,1.662,100,12.5,rain,,,,6.9,307.5,,88.8,6.1,,,,,2000-01-04T07:19:28,2000-01-04T19:16:07,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,48647099999
malaysia,5/1/2000,85.4,75.3,78.1,94.5,75.3,79.9,75,90.8,1.748,100,8.33,rain,,,,5.8,299.1,,90,6.8,,,,,2000-01-05T07:19:53,2000-01-05T19:16:35,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,48647099999
malaysia,6/1/2000,87.9,74.4,80.9,94.1,74.4,84.4,73.6,80.2,0,0,0,,,,,6.9,174,,88.6,9.4,,,,,2000-01-06T07:20:19,2000-01-06T19:17:04,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,48647099999
malaysia,7/1/2000,91.7,76.4,81.2,100,76.4,84.5,74.4,81.3,0.59,100,8.33,rain,,,,8.1,278.1,,90,8,,,,,2000-01-07T07:20:44,2000-01-07T19:17:32,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,48647099999
malaysia,8/1/2000,87,76.2,79.9,96,76.2,82.8,74.6,84.5,0.012,100,4.17,rain,,,,10.3,294.2,1010.5,90,8.5,,,,,2000-01-08T07:21:08,2000-01-08T19:18:00,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"4,864,709,999,948,640,000,000"
malaysia,9/1/2000,90.6,77.1,82.4,98.6,77.1,85.4,74.2,78,0.28,100,8.33,rain,,,,6.9,205.2,,88,10.9,,,,,2000-01-09T07:21:31,2000-01-09T19:18:27,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,48647099999
malaysia,10/1/2000,88.8,75.8,81.1,93.4,75.8,84.6,74.1,80.7,0,0,0,,,,,4.7,279,,90,9.2,,,,,2000-01-10T07:21:54,2000-01-10T19:18:54,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,48647099999
malaysia,11/1/2000,85.4,76.7,80.6,92.8,76.7,83.7,74.2,81.8,0,0,0,,,,,4.7,258.3,,90,8.9,,,,,2000-01-11T07:22:17,2000-01-11T19:19:20,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,48647099999
malaysia,12/1/2000,89.7,75.8,78.9,100.7,75.8,80.4,74.6,87.6,1.339,100,4.17,rain,,,,8.1,298.4,,90,7.3,,,,,2000-01-12T07:22:39,2000-01-12T19:19:46,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,48647099999
malaysia,13/1/2000,88.8,75.5,79,97.8,75.5,81.2,71.7,80.1,0.048,100,8.33,rain,,,,6.9,314.4,,90,7.5,,,,,2000-01-13T07:23:00,2000-01-13T19:20:12,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,48647099999
